2020-07-30	21572400
2020-07-31	21543300
2020-08-01	21499600
2020-08-02	21448700
2020-08-03	21397800
2020-08-04	21361300
2020-08-05	21325000
2020-08-06	21368800
2020-08-07	21368800
2020-08-08	21368800
2020-08-09	21412300
2020-08-10	21426900
2020-08-11	21412300
2020-08-12	21412300
2020-08-13	21397800
2020-08-14	21383200
2020-08-15	21368800
2020-08-16	21368800
2020-08-17	21426900
2020-08-18	21441500
2020-08-19	21456000
2020-08-20	21456000
2020-08-21	21470500
2020-08-22	21470500
2020-08-23	21470500
2020-08-24	21456000
2020-08-25	21441500
2020-08-26	21485000
2020-08-27	21470500
2020-08-28	21456000
2020-08-29	21441500
2020-08-30	21412300
2020-08-31	21383200
2020-09-01	21354100
2020-09-02	21317900
2020-09-03	21282100
2020-09-04	21246900
2020-09-05	21211800
2020-09-06	21183000
2020-09-07	21147500
2020-09-08	21112000
2020-09-09	21069400
2020-09-10	21026800
2020-09-11	20991300
2020-09-12	20948700
2020-09-13	20908200
2020-09-14	20865500
2020-09-15	20835100
2020-09-16	20792500
2020-09-17	20750500
2020-09-18	20708800
2020-09-19	20657600
2020-09-20	20657600
2020-09-21	20546900
2020-09-22	20491700
2020-09-23	20439900
2020-09-24	20391000
2020-09-25	20341000
2020-09-26	20294000
2020-09-27	20341000
2020-09-28	20341000
2020-09-29	20299900
2020-09-30	20313600
2020-10-01	20286200
2020-10-02	20272500
2020-10-03	20231400
2020-10-04	20197100
2020-10-05	20156100
2020-10-06	20114900
2020-10-07	20114900
2020-10-08	20149200
2020-10-09	20327300
2020-10-10	20657600
2020-10-11	20728600
2020-10-12	20771200
2020-10-13	20813800
2020-10-14	20941600
2020-10-15	20998400
2020-10-16	21041000
2020-10-17	21183000
2020-10-18	21325000
2020-10-19	21397800
2020-10-20	21426900
2020-10-21	21456000
2020-10-22	21456000
2020-10-23	21485000
2020-10-24	21499600
2020-10-25	21499600
2020-10-26	21543300
2020-10-27	21557800
2020-10-28	21572400
2020-10-29	21572400
2020-10-30	21557800
2020-10-31	21557800
2020-11-01	21557800
2020-11-02	21557800
2020-11-03	21557800
2020-11-04	21601900
2020-11-05	21616600
2020-11-06	21631300
2020-11-07	21631300
2020-11-08	21616600
2020-11-09	21601900
2020-11-10	21587200
2020-11-11	21587200
2020-11-12	21577000
2020-11-13	21567000
2020-11-14	21556000
2020-11-15	21546000
2020-11-16	21535000
2020-11-17	21525000
2020-11-18	21514200
2020-11-19	21514200
2020-11-20	21514200
2020-11-21	21499600
2020-11-22	21470500
2020-11-23	21441500
2020-11-24	21412300
2020-11-25	21397800
2020-11-26	21368800
2020-11-27	21354100
2020-11-28	21339600
2020-11-29	21325000
2020-11-30	21310800
2020-12-01	21296600
2020-12-02	21282100
2020-12-03	21268200
2020-12-04	21254000
2020-12-05	21226000
2020-12-06	21197200
2020-12-07	21168800
2020-12-08	21154600
2020-12-09	21140400
2020-12-10	21126200
2020-12-11	21197200
2020-12-12	21254000
2020-12-13	21296600
2020-12-14	21354100
2020-12-15	21368800
2020-12-16	21383200
2020-12-17	21383200
2020-12-18	21383200
2020-12-19	21397800
2020-12-20	21397800
2020-12-21	21383200
2020-12-22	21368800
2020-12-23	21354100
2020-12-24	21325000
2020-12-25	21296600
2020-12-26	21282100
2020-12-27	21282100
2020-12-28	21354100
2020-12-29	21368800
2020-12-30	21383200
2020-12-31	21397800
2021-01-01	21412300
2021-01-02	21456000
2021-01-03	21485000
2021-01-04	21528700
2021-01-05	21601900
2021-01-06	21705200
2021-01-07	21808400
2021-01-08	22000800
2021-01-09	22596000
2021-01-10	23198600
2021-01-11	23692800
2021-01-12	24026000
2021-01-13	23726000
2021-01-14	23229000
2021-01-15	22731000
2021-01-16	22210000
2021-01-17	21720000
2021-01-18	21484800
2021-01-19	21239800
2021-01-20	21041000
2021-01-21	20998400
2021-01-22	21055200
2021-01-23	21168800
2021-01-24	21197200
2021-01-25	21226000
2021-01-26	21282100
2021-01-27	21310800
2021-01-28	21354100
2021-01-29	21441500
2021-01-30	21485000
2021-01-31	21543300
2021-02-01	21690300
2021-02-02	21986000
2021-02-03	22134000
2021-02-04	22208000
2021-02-05	22208000
2021-02-06	22148800
2021-02-07	22060000
2021-02-08	21971200
2021-02-09	21897200
2021-02-10	21808400
2021-02-11	21719600
2021-02-12	21645500
2021-02-13	21543100
2021-02-14	21455400
2021-02-15	21368200
2021-02-16	21282200
2021-02-17	21197200
2021-02-18	21140400
2021-02-19	21083600
2021-02-20	21055200
2021-02-21	21026800
2021-02-22	20998400
2021-02-23	20998400
2021-02-24	19998400
2021-02-25	21043000
2021-02-26	21097800
2021-02-27	21140400
2021-02-28	21154600
2021-03-01	21154600
2021-03-02	21126200
2021-03-03	21112000
2021-03-04	21083600
2021-03-05	21055200
2021-03-06	21026800
2021-03-07	20998400
2021-03-08	20970000
2021-03-09	20955800
2021-03-10	20941600
2021-03-11	20970000
2021-03-12	20970000
2021-03-13	20955800
2021-03-14	20941600
2021-03-15	20927400
2021-03-16	20955800
2021-03-17	20984200
2021-03-18	21012600
2021-03-19	21041600
2021-03-20	20998400
2021-03-21	20998400
2021-03-22	20984200
2021-03-23	20913200
2021-03-24	20842200
2021-03-25	20771200
2021-03-26	20771200
2021-03-27	20771200
2021-03-28	20842200
2021-03-29	20913200
2021-03-30	20984200
2021-03-31	20984200
2021-04-01	20984400
2021-04-02	20998400
2021-04-03	21012600
2021-04-04	21239000
2021-04-05	21140400
2021-04-06	21069400
2021-04-07	21012600
2021-04-08	20984200
2021-04-09	20955800
2021-04-10	20927400
2021-04-11	20913200
2021-04-12	20927400
2021-04-13	20941600
2021-04-14	21069400
2021-04-15	21083600
2021-04-16	21026800
2021-04-17	20984200
2021-04-18	21012600
2021-04-19	21041000
2021-04-20	21069400
2021-04-21	21026800
2021-04-22	20984200
2021-04-23	20970000
2021-04-24	20984200
2021-04-25	20970000
2021-04-26	20955800
2021-04-27	20955800
2021-04-28	20941600
2021-04-29	20970000
2021-04-30	20998400
2021-05-01	21055200
2021-05-02	21097800
2021-05-03	21183000
2021-05-04	21097800
2021-05-05	21026800
2021-05-06	21026800
2021-05-07	20998400
2021-05-08	20998400
2021-05-09	20970000
2021-05-10	20941600
2021-05-11	20927400
2021-05-12	20913200
2021-05-13	20941600
2021-05-14	20913200
2021-05-15	20884800
2021-05-16	20884800
2021-05-17	20899000
2021-05-18	20941600
2021-05-19	20913200
2021-05-20	20884800
2021-05-21	20899000
2021-05-22	20884800
2021-05-23	20870600
2021-05-24	20856400
2021-05-25	20842200
2021-05-26	20828000
2021-05-27	20828000
2021-05-28	20813800
2021-05-29	20870600
2021-05-30	20842200
2021-05-31	20842200
2021-06-01	20842200
2021-06-02	20870600
2021-06-03	20856400
2021-06-04	20842200
2021-06-05	20842200
2021-06-06	20828000
2021-06-07	20813800
2021-06-08	20842200
2021-06-09	20842200
2021-06-10	20828000
2021-06-11	20813800
2021-06-12	20828000
2021-06-13	20828000
2021-06-14	20813800
2021-06-15	20870600
2021-06-16	20856400
2021-06-17	20870600
2021-06-18	20884800
2021-06-19	20870600
2021-06-20	20884800
2021-06-21	20856400
2021-06-22	20842200
2021-06-23	20828000
2021-06-24	20813800
2021-06-25	20785400
2021-06-26	20771200
2021-06-27	20771200
2021-06-28	20785400
2021-06-29	20772200
2021-06-30	20771200
2021-07-01	20757000
2021-07-02	20728600
2021-07-03	20700200
2021-07-04	20700200
2021-07-05	20686000
2021-07-06	20686000
2021-07-07	20686000
2021-07-08	20686000
2021-07-09	20686000
2021-07-10	20671800
2021-07-11	20671800
2021-07-12	20657600
2021-07-13	20643400
2021-07-14	20629200
2021-07-15	20601300
2021-07-16	20573900
2021-07-17	20546500
2021-07-18	20519100
2021-07-19	20491700
2021-07-20	20464300
2021-07-21	20436900
2021-07-22	20409500
2021-07-23	20368400
2021-07-24	20327300
2021-07-25	20286200
2021-07-26	20245100
2021-07-27	20204000
2021-07-28	20162900
2021-07-29	20108100
2021-07-30	20053300
2021-07-31	19998500
2021-08-01	19957400
2021-08-02	19916400
2021-08-03	19862000
2021-08-04	19807600
2021-08-05	19753200
2021-08-06	19698800
